NC_002946.2.1	dnaA
NC_002946.2.1036	xanQ_2
NC_002946.2.1037	xanQ_1
NC_002946.2.1038	dapA
NC_002946.2.1039	group_3009
NC_002946.2.1040	pip
NC_002946.2.1041	group_900
NC_002946.2.1042	group_901
NC_002946.2.1043	group_202
NC_002946.2.1044	group_902
NC_002946.2.1045	group_3344
NC_002946.2.1046	group_903
NC_002946.2.1047	lysC
NC_002946.2.1048	group_904
NC_002946.2.1049	rph
NC_002946.2.1050	group_3051
NC_002946.2.1051	moeB
NC_002946.2.1052	scpA
NC_002946.2.1053	pncB2
NC_002946.2.1054	argS
NC_002946.2.1055	group_905
NC_002946.2.1056	group_26
NC_002946.2.1058	group_448
NC_002946.2.1060	glnP
NC_002946.2.1061	group_906
NC_002946.2.1062	nucH
NC_002946.2.1063	rpiA
NC_002946.2.1064	ispF
NC_002946.2.1065	ispD
NC_002946.2.1066	dnaQ
NC_002946.2.1067	lplT
NC_002946.2.1068	fixS
NC_002946.2.1069	group_2328
NC_002946.2.1070	ackA_1
NC_002946.2.1071	dipZ
NC_002946.2.1072	group_2252
NC_002946.2.1073	group_2483
NC_002946.2.1074	slyD
NC_002946.2.1075	group_907
NC_002946.2.1076	group_908
NC_002946.2.1077	group_3305
NC_002946.2.1078	group_909
NC_002946.2.1079	icsA
NC_002946.2.1080	smpB
NC_002946.2.1081	rfaF
NC_002946.2.1083	group_910
NC_002946.2.1084	ybcL
NC_002946.2.1085	cfaD
NC_002946.2.1086	dapE
NC_002946.2.1087	group_2808
NC_002946.2.1088	group_2905
NC_002946.2.1089	group_2335
NC_002946.2.1090	group_911
NC_002946.2.1091	group_2276
NC_002946.2.1092	secA_1
NC_002946.2.1093	dnaG
NC_002946.2.1094	rpoD
NC_002946.2.1095	group_203
NC_002946.2.1097	group_27
NC_002946.2.1098	group_3073
NC_002946.2.1099	group_110
NC_002946.2.1100	group_912
NC_002946.2.1101	group_2234
NC_002946.2.1102	group_204
NC_002946.2.1104	group_3170
NC_002946.2.1105	group_3232
NC_002946.2.1106	group_3204
NC_002946.2.1107	group_3279
NC_002946.2.1108	group_451
NC_002946.2.1109	group_2557
NC_002946.2.1110	group_2465
NC_002946.2.1111	group_2594
NC_002946.2.1112	group_3346
NC_002946.2.1113	group_913
NC_002946.2.1114	group_2286
NC_002946.2.1115	group_2167
NC_002946.2.1116	group_2123
NC_002946.2.1117	group_111
NC_002946.2.1118	group_205
NC_002946.2.1119	polC
NC_002946.2.1122	group_2687
NC_002946.2.1123	group_452
NC_002946.2.1124	group_2599
NC_002946.2.1125	group_206
NC_002946.2.1126	tktA
NC_002946.2.1127	fumC
NC_002946.2.1128	yhbE
NC_002946.2.1129	ssb
NC_002946.2.1130	yajR
NC_002946.2.1131	group_2847
NC_002946.2.1132	group_207
NC_002946.2.1133	group_453
NC_002946.2.1134	group_2484
NC_002946.2.1135	group_914
NC_002946.2.1136	group_915
NC_002946.2.1137	group_916
NC_002946.2.1138	group_454
NC_002946.2.1139	ppx
NC_002946.2.1140	group_2496
NC_002946.2.1141	group_2218
NC_002946.2.1142	trpS
NC_002946.2.1143	clpB
NC_002946.2.1144	group_2434
NC_002946.2.1145	group_2360
NC_002946.2.1146	group_2986
NC_002946.2.1148	gdhA_1
NC_002946.2.1149	group_2710
NC_002946.2.1150	group_918
NC_002946.2.1151	gph_2
NC_002946.2.1152	recX
NC_002946.2.1153	group_3383
NC_002946.2.1154	group_919
NC_002946.2.1155	group_3198
NC_002946.2.1156	nlpD
NC_002946.2.1157	surE
NC_002946.2.1158	yoaE
NC_002946.2.1159	group_457
NC_002946.2.1160	group_3117
NC_002946.2.1161	group_920
NC_002946.2.1162	group_2844
NC_002946.2.1163	cstA
NC_002946.2.1164	group_2295
NC_002946.2.1165	mafA1_4
NC_002946.2.1166	group_3
NC_002946.2.1167	group_458
NC_002946.2.1168	group_921
NC_002946.2.1169	mafB
NC_002946.2.1170	group_2199
NC_002946.2.1171	group_2576
NC_002946.2.1172	group_74
NC_002946.2.1173	group_208
NC_002946.2.1174	group_3246
NC_002946.2.1175	group_2907
NC_002946.2.1176	group_922
NC_002946.2.1177	group_3166
NC_002946.2.1178	ydfG
NC_002946.2.1179	group_923
NC_002946.2.1180	lst
NC_002946.2.1181	group_924
NC_002946.2.1182	icd2
NC_002946.2.1183	group_459
NC_002946.2.1184	group_2160
NC_002946.2.1185	group_210
NC_002946.2.1187	group_460
NC_002946.2.1188	group_113
NC_002946.2.1190	group_114
NC_002946.2.1191	group_461
NC_002946.2.1192	group_2951
NC_002946.2.1193	group_75
NC_002946.2.1194	group_28
NC_002946.2.1195	group_925
NC_002946.2.1196	group_3311
NC_002946.2.1197	group_926
NC_002946.2.1198	group_115
NC_002946.2.1200	group_211
NC_002946.2.1202	group_462
NC_002946.2.1203	group_3293
NC_002946.2.1204	group_463
NC_002946.2.1205	ybcO
NC_002946.2.1206	rusA_3
NC_002946.2.1216	group_927
NC_002946.2.1217	group_117
NC_002946.2.1218	group_3017
NC_002946.2.1219	group_2898
NC_002946.2.1220	group_2519
NC_002946.2.1224	group_2968
NC_002946.2.1229	group_118
NC_002946.2.1231	group_119
NC_002946.2.1232	group_17
NC_002946.2.1233	group_3294
NC_002946.2.1235	group_2305
NC_002946.2.1236	ribA
NC_002946.2.1237	pgaC
NC_002946.2.1238	group_11
NC_002946.2.1240	group_2535
NC_002946.2.1241	group_2453
NC_002946.2.1242	group_212
NC_002946.2.1243	group_10
NC_002946.2.1244	group_465
NC_002946.2.1245	group_2913
NC_002946.2.1246	group_2826
NC_002946.2.1247	group_3020
NC_002946.2.1248	group_3030
NC_002946.2.1249	group_14
NC_002946.2.1250	group_2618
NC_002946.2.1251	group_2768
NC_002946.2.1252	metZ
NC_002946.2.1253	group_2451
NC_002946.2.1254	group_2292
NC_002946.2.1255	artI
NC_002946.2.1256	fumA
NC_002946.2.1258	trkA
NC_002946.2.1259	group_928
NC_002946.2.1260	group_466
NC_002946.2.1262	group_2664
NC_002946.2.1264	group_929
NC_002946.2.1265	thiD
NC_002946.2.1266	tehB
NC_002946.2.1267	rnhA
NC_002946.2.1268	group_930
NC_002946.2.1276	group_3027
NC_002946.2.1277	group_3244
NC_002946.2.1278	group_53
NC_002946.2.1280	vsr_2
NC_002946.2.1281	group_2400
NC_002946.2.1282	group_213
NC_002946.2.1283	group_468
NC_002946.2.1284	group_2152
NC_002946.2.1285	group_2177
NC_002946.2.1286	pilE1_1
NC_002946.2.1287	comEA_2
NC_002946.2.1293	group_931
NC_002946.2.1294	truC
NC_002946.2.1295	cof
NC_002946.2.1297	glnB
NC_002946.2.1298	purL
NC_002946.2.1299	group_76
NC_002946.2.1300	arsR
NC_002946.2.1301	golB
NC_002946.2.1302	group_3083
NC_002946.2.1303	hslO
NC_002946.2.1304	spr
NC_002946.2.1305	group_120
NC_002946.2.1306	yohJ
NC_002946.2.1307	yohK
NC_002946.2.1308	argJ
NC_002946.2.1309	clcA_2
NC_002946.2.1310	hrpA
NC_002946.2.1311	group_933
NC_002946.2.1312	eptB
NC_002946.2.1313	group_3380
NC_002946.2.1315	group_934
NC_002946.2.1316	group_2185
NC_002946.2.1318	trpD
NC_002946.2.1319	trpG
NC_002946.2.1320	group_2761
NC_002946.2.1321	group_935
NC_002946.2.1322	group_2515
NC_002946.2.1323	uvrA
NC_002946.2.1324	group_471
NC_002946.2.1325	bspRIM_1
NC_002946.2.1326	group_215
NC_002946.2.1327	group_3296
NC_002946.2.1328	pyrG
NC_002946.2.1329	fadD_1
NC_002946.2.1330	mnmA
NC_002946.2.1331	group_3376
NC_002946.2.1332	dgkA
NC_002946.2.1333	gshB
NC_002946.2.1334	glnS
NC_002946.2.1335	glpR
NC_002946.2.1336	group_2466
NC_002946.2.1337	group_3138
NC_002946.2.1338	yhfA
NC_002946.2.1339	group_2632
NC_002946.2.1340	purN
NC_002946.2.1341	fkpA
NC_002946.2.1342	holC
NC_002946.2.1343	pepA
NC_002946.2.1344	lptF
NC_002946.2.1345	lptG
NC_002946.2.1347	acnB
NC_002946.2.1348	arcB
NC_002946.2.1349	ilvC
NC_002946.2.1350	ycnE
NC_002946.2.1351	ilvH
NC_002946.2.1352	ilvI
NC_002946.2.1354	ypmQ
NC_002946.2.1355	hisG
NC_002946.2.1356	group_2300
NC_002946.2.1357	hisD
NC_002946.2.1358	hisC
NC_002946.2.1359	hisB
NC_002946.2.1360	Hgd
NC_002946.2.1361	sarZ
NC_002946.2.1362	group_3225
NC_002946.2.1363	sohB
NC_002946.2.1369	pgsA
NC_002946.2.1370	group_476
NC_002946.2.1371	group_3302
NC_002946.2.1372	mtrA
NC_002946.2.1373	group_478
NC_002946.2.1374	group_479
NC_002946.2.1375	potF_1
NC_002946.2.1376	alaS
NC_002946.2.1377	group_937
NC_002946.2.1379	group_938
NC_002946.2.1380	gpmA
NC_002946.2.1381	parC
NC_002946.2.1382	zraR
NC_002946.2.1383	rsmJ
NC_002946.2.1388	group_3270
NC_002946.2.1397	group_2799
NC_002946.2.1398	ldcA
NC_002946.2.1399	nor
NC_002946.2.1400	aniA
NC_002946.2.1401	pkn1
NC_002946.2.1402	group_939
NC_002946.2.1403	ydjA
NC_002946.2.1404	eptA
NC_002946.2.1406	group_940
NC_002946.2.1407	serC
NC_002946.2.1408	rimP
NC_002946.2.1409	nusA
NC_002946.2.1410	infB
NC_002946.2.1411	group_482
NC_002946.2.1412	group_2610
NC_002946.2.1413	yqfA
NC_002946.2.1414	group_2712
NC_002946.2.1415	pmpR
NC_002946.2.1416	dsbB
NC_002946.2.1417	group_942
NC_002946.2.1418	group_943
NC_002946.2.1419	lrp
NC_002946.2.1420	alr
NC_002946.2.1421	group_944
NC_002946.2.1422	group_2559
NC_002946.2.1423	group_2337
NC_002946.2.1424	group_484
NC_002946.2.1425	prmB
NC_002946.2.1426	group_945
NC_002946.2.1427	group_485
NC_002946.2.1428	group_946
NC_002946.2.1431	group_2917
NC_002946.2.1432	group_947
NC_002946.2.1438	group_2209
NC_002946.2.1439	coaBC
NC_002946.2.1440	spoT
NC_002946.2.1441	rpoZ
NC_002946.2.1442	gmk
NC_002946.2.1443	apt
NC_002946.2.1444	group_2743
NC_002946.2.1446	yhbU
NC_002946.2.1447	group_3284
NC_002946.2.1448	group_2148
NC_002946.2.1449	group_2807
NC_002946.2.1450	hgpA
NC_002946.2.1452	group_2933
NC_002946.2.1453	yebS
NC_002946.2.1454	pqiB
NC_002946.2.1455	group_2758
NC_002946.2.1456	tag
NC_002946.2.1457	tesA
NC_002946.2.1458	group_486
NC_002946.2.1459	gcvP
NC_002946.2.1463	group_487
NC_002946.2.1464	group_2135
NC_002946.2.1466	tyrB
NC_002946.2.1467	trmA
NC_002946.2.1468	aroC
NC_002946.2.1469	group_2296
NC_002946.2.1470	parE
NC_002946.2.1471	rppH
NC_002946.2.1472	serS
NC_002946.2.1473	ldhA
NC_002946.2.1474	prfA
NC_002946.2.1475	yjjV
NC_002946.2.1476	ansA
NC_002946.2.1477	dedA_2
NC_002946.2.1478	glmM
NC_002946.2.1479	dhpS
NC_002946.2.1480	aroF
NC_002946.2.1481	group_2889
NC_002946.2.1482	ubiD
NC_002946.2.1483	group_3258
NC_002946.2.1484	group_2191
NC_002946.2.1485	group_3333
NC_002946.2.1486	group_121
NC_002946.2.1487	fabG-1_1
NC_002946.2.1488	fabG-1
NC_002946.2.1489	fabF_1
NC_002946.2.1491	lgtF
NC_002946.2.1492	mshA
NC_002946.2.1493	group_489
NC_002946.2.1494	apbE_1
NC_002946.2.1496	thyA
NC_002946.2.1497	gdhA_2
NC_002946.2.1498	group_2982
NC_002946.2.1499	pdhR
NC_002946.2.1500	group_948
NC_002946.2.1501	group_949
NC_002946.2.1502	mtrE
NC_002946.2.1503	mexB
NC_002946.2.1504	mexA
NC_002946.2.1505	acrR
NC_002946.2.1506	group_491
NC_002946.2.1507	abgT
NC_002946.2.1508	recC
NC_002946.2.1509	group_950
NC_002946.2.1510	ccoP2
NC_002946.2.1511	group_2320
NC_002946.2.1512	group_2344
NC_002946.2.1513	group_2995
NC_002946.2.1515	group_2811
NC_002946.2.1516	group_492
NC_002946.2.1517	exbD
NC_002946.2.1518	exbB
NC_002946.2.1519	group_2449
NC_002946.2.1520	group_2193
NC_002946.2.1521	grxB
NC_002946.2.1522	relA
NC_002946.2.1523	group_951
NC_002946.2.1524	group_952
NC_002946.2.1525	group_494
NC_002946.2.1526	group_953
NC_002946.2.1527	group_954
NC_002946.2.1528	group_955
NC_002946.2.1529	group_495
NC_002946.2.1530	group_496
NC_002946.2.1531	group_3384
NC_002946.2.1532	group_3373
NC_002946.2.1533	group_956
NC_002946.2.1534	mafB17
NC_002946.2.1535	mafA1_2
NC_002946.2.1538	group_2512
NC_002946.2.1539	group_2301
NC_002946.2.1540	group_2985
NC_002946.2.1541	ybhF
NC_002946.2.1542	group_3200
NC_002946.2.1543	group_2587
NC_002946.2.1544	nosZ_1
NC_002946.2.1545	nosZ_2
NC_002946.2.1546	yccM
NC_002946.2.1547	group_221
NC_002946.2.1548	hemA
NC_002946.2.1549	gcvH
NC_002946.2.1550	group_2850
NC_002946.2.1551	group_957
NC_002946.2.1552	gcvT
NC_002946.2.1555	lrp1
NC_002946.2.1556	group_958
NC_002946.2.1557	ybaN
NC_002946.2.1558	group_500
NC_002946.2.1559	group_2541
NC_002946.2.1561	nqrA
NC_002946.2.1562	nqrB
NC_002946.2.1563	nqrC
NC_002946.2.1564	nqrD
NC_002946.2.1565	nqrE
NC_002946.2.1566	nqrF
NC_002946.2.1568	apbE_2
NC_002946.2.1569	group_2324
NC_002946.2.1570	grpE
NC_002946.2.1571	cysE
NC_002946.2.1572	ubiB
NC_002946.2.1573	group_959
NC_002946.2.1574	group_960
NC_002946.2.1575	erpA
NC_002946.2.1576	group_2830
NC_002946.2.1577	group_3226
NC_002946.2.1578	dnaK
NC_002946.2.1579	group_80
NC_002946.2.1580	group_2463
NC_002946.2.1581	group_502
NC_002946.2.1582	cmpB
NC_002946.2.1583	ssuB
NC_002946.2.1584	group_2353
NC_002946.2.1585	group_124
NC_002946.2.1586	priA
NC_002946.2.1587	dsbC_2
NC_002946.2.1588	macB
NC_002946.2.1589	macA
NC_002946.2.1590	pilE_2
NC_002946.2.1591	adhA
NC_002946.2.1592	smc
NC_002946.2.1593	group_962
NC_002946.2.1594	group_963
NC_002946.2.1595	group_504
NC_002946.2.1596	group_505
NC_002946.2.1597	lpxH
NC_002946.2.1598	lutP
NC_002946.2.1599	group_2134
NC_002946.2.1600	group_2493
NC_002946.2.1601	aspC
NC_002946.2.1605	lysS
NC_002946.2.1606	group_506
NC_002946.2.1607	group_964
NC_002946.2.1608	group_2994
NC_002946.2.1609	group_223
NC_002946.2.1610	group_965
NC_002946.2.1611	group_2896
NC_002946.2.1612	group_966
NC_002946.2.1613	group_224
NC_002946.2.1614	group_967
NC_002946.2.1616	group_968
NC_002946.2.1617	group_969
NC_002946.2.1618	purH
NC_002946.2.1619	clcA_1
NC_002946.2.1620	serB
NC_002946.2.1621	group_970
NC_002946.2.1622	pntA
NC_002946.2.1623	group_2884
NC_002946.2.1624	pntB
NC_002946.2.1625	mdaB
NC_002946.2.1626	dmlR_1
NC_002946.2.1628	group_2911
NC_002946.2.1629	group_2272
NC_002946.2.1630	group_2912
NC_002946.2.1631	group_2269
NC_002946.2.1632	group_508
NC_002946.2.1633	group_509
NC_002946.2.1634	group_42
NC_002946.2.1637	bioC
NC_002946.2.1638	group_972
NC_002946.2.1639	bioF
NC_002946.2.1640	group_510
NC_002946.2.1641	ynhG
NC_002946.2.1642	ybhI
NC_002946.2.1643	speB
NC_002946.2.1644	speA
NC_002946.2.1645	group_3223
NC_002946.2.1646	aspS
NC_002946.2.1648	group_2616
NC_002946.2.1649	group_3239
NC_002946.2.1650	rpsT
NC_002946.2.1651	potD-1
NC_002946.2.1652	group_227
NC_002946.2.1653	group_973
NC_002946.2.1654	group_228
NC_002946.2.1655	group_974
NC_002946.2.1656	group_975
NC_002946.2.1657	group_229
NC_002946.2.1658	group_2486
NC_002946.2.1659	racE
NC_002946.2.1660	group_3385
NC_002946.2.1661	amiC
NC_002946.2.1662	group_636
NC_002946.2.1663	rlmL_2
NC_002946.2.1664	group_515
NC_002946.2.1665	nudG
NC_002946.2.1666	acpS
NC_002946.2.1667	pdxJ
NC_002946.2.1668	recO
NC_002946.2.1669	pheA
NC_002946.2.1670	group_976
NC_002946.2.1671	group_977
NC_002946.2.1672	group_978
NC_002946.2.1673	group_979
NC_002946.2.1674	group_980
NC_002946.2.1675	ramA
NC_002946.2.1676	tyrC
NC_002946.2.1677	group_2279
NC_002946.2.1678	group_2693
NC_002946.2.1679	nsrR
NC_002946.2.1680	yciO
NC_002946.2.1681	ackA_2
NC_002946.2.1682	group_981
NC_002946.2.1683	prpF_1
NC_002946.2.1684	prpF_2
NC_002946.2.1685	acnA
NC_002946.2.1686	acn
NC_002946.2.1687	yfcA
NC_002946.2.1688	prpC
NC_002946.2.1690	prpB
NC_002946.2.1692	purP
NC_002946.2.1693	ftsZ
NC_002946.2.1694	ftsA
NC_002946.2.1695	ftsQ
NC_002946.2.1696	ddl
NC_002946.2.1697	murC
NC_002946.2.1698	murG
NC_002946.2.1699	ftsW
NC_002946.2.1700	murD
NC_002946.2.1701	group_2513
NC_002946.2.1702	mraY
NC_002946.2.1703	group_2317
NC_002946.2.1704	murF
NC_002946.2.1705	dca
NC_002946.2.1706	murE
NC_002946.2.1707	penA
NC_002946.2.1708	group_3217
NC_002946.2.1709	mraW
NC_002946.2.1710	mraZ
NC_002946.2.1711	group_233
NC_002946.2.1714	uppP
NC_002946.2.1715	dsbA_1
NC_002946.2.1716	group_2954
NC_002946.2.1717	comM
NC_002946.2.1718	yqiC
NC_002946.2.1719	putP
NC_002946.2.1720	group_519
NC_002946.2.1721	putA
NC_002946.2.1723	group_982
NC_002946.2.1725	group_521
NC_002946.2.1726	yiaD
NC_002946.2.1727	group_983
NC_002946.2.1728	xthA
NC_002946.2.1729	ygaV
NC_002946.2.1730	group_984
NC_002946.2.1731	group_985
NC_002946.2.1732	nadC
NC_002946.2.1733	group_3189
NC_002946.2.1734	nadA
NC_002946.2.1735	nadB
NC_002946.2.1737	pgmB
NC_002946.2.1738	group_986
NC_002946.2.1739	trePP
NC_002946.2.1740	kojP
NC_002946.2.1741	galM
NC_002946.2.1742	group_988
NC_002946.2.1743	group_989
NC_002946.2.1744	group_990
NC_002946.2.1746	group_3285
NC_002946.2.1747	yjjK
NC_002946.2.1748	pgpA
NC_002946.2.1749	thiL
NC_002946.2.1750	group_992
NC_002946.2.1751	group_993
NC_002946.2.1752	rmpM
NC_002946.2.1753	cysB
NC_002946.2.1754	fnr
NC_002946.2.1755	hemN_2
NC_002946.2.1756	group_994
NC_002946.2.1757	cysP
NC_002946.2.1758	group_995
NC_002946.2.1759	anmK
NC_002946.2.1762	group_2445
NC_002946.2.1763	group_13
NC_002946.2.1764	group_2934
NC_002946.2.1765	group_996
NC_002946.2.1766	group_3070
NC_002946.2.1767	group_2458
NC_002946.2.1768	mafB13_1
NC_002946.2.1769	group_2635
NC_002946.2.1770	group_3224
NC_002946.2.1771	group_524
NC_002946.2.1772	group_997
NC_002946.2.1773	group_2331
NC_002946.2.1774	group_525
NC_002946.2.1775	group_526
NC_002946.2.1776	ampG
NC_002946.2.1777	glnA
NC_002946.2.1778	aroE
NC_002946.2.1779	mtgA
NC_002946.2.1780	group_998
NC_002946.2.1782	lptB
NC_002946.2.1783	lptA
NC_002946.2.1784	group_529
NC_002946.2.1785	kdsC
NC_002946.2.1786	kdsD
NC_002946.2.1787	tal
NC_002946.2.1788	group_530
NC_002946.2.1789	group_1003
NC_002946.2.1790	gluQ
NC_002946.2.1791	dus_3
NC_002946.2.1792	group_2817
NC_002946.2.1794	group_2258
NC_002946.2.1804	group_1005
NC_002946.2.1805	group_1006
NC_002946.2.1806	group_1007
NC_002946.2.1807	group_1008
NC_002946.2.1808	group_1009
NC_002946.2.1809	group_1010
NC_002946.2.1810	group_1011
NC_002946.2.1811	group_1012
NC_002946.2.1813	group_1013
NC_002946.2.1814	group_3080
NC_002946.2.1815	group_6
NC_002946.2.1816	group_1014
NC_002946.2.1817	group_127
NC_002946.2.1818	group_532
NC_002946.2.1823	group_1015
NC_002946.2.1827	group_2222
NC_002946.2.1828	group_2955
NC_002946.2.1829	group_3193
NC_002946.2.1830	group_1016
NC_002946.2.1834	group_235
NC_002946.2.1835	group_236
NC_002946.2.1836	group_2200
NC_002946.2.1837	dtd
NC_002946.2.1838	group_2874
NC_002946.2.1839	cbf2
NC_002946.2.1840	bolA
NC_002946.2.1841	group_533
NC_002946.2.1842	ispZ
NC_002946.2.1843	tspA
NC_002946.2.1845	gloA
NC_002946.2.1846	group_534
NC_002946.2.1847	group_2818
NC_002946.2.1848	group_1017
NC_002946.2.1849	ilvE
NC_002946.2.1850	fabI
NC_002946.2.1851	dapD
NC_002946.2.1852	pgi2
NC_002946.2.1853	epsF
NC_002946.2.1854	outO
NC_002946.2.1855	coaE
NC_002946.2.1856	yacG
NC_002946.2.1857	epsE
NC_002946.2.1859	group_2096
NC_002946.2.1860	ispB
NC_002946.2.1861	rplU
NC_002946.2.1862	rpmA
NC_002946.2.1863	ubiH
NC_002946.2.1864	rpmG
NC_002946.2.1865	rpmB
NC_002946.2.1866	group_1018
NC_002946.2.1867	emrB
NC_002946.2.1868	emrA
NC_002946.2.1870	queF
NC_002946.2.1871	yhhQ
NC_002946.2.1872	group_3369
NC_002946.2.1873	group_1021
NC_002946.2.1874	group_539
NC_002946.2.1875	vapA
NC_002946.2.1876	group_1022
NC_002946.2.1877	group_541
NC_002946.2.1878	group_2261
NC_002946.2.1879	group_1023
NC_002946.2.1880	group_640
NC_002946.2.1881	group_2948
NC_002946.2.1882	folA
NC_002946.2.1883	group_1024
NC_002946.2.1885	group_239
NC_002946.2.1886	group_3261
NC_002946.2.1887	group_542
NC_002946.2.1894	ypjD
NC_002946.2.1895	ffh
NC_002946.2.1896	group_2923
NC_002946.2.1897	group_543
NC_002946.2.1899	group_1025
NC_002946.2.1900	yphA
NC_002946.2.1901	dmlR_2
NC_002946.2.1902	phr
NC_002946.2.1903	dinG
NC_002946.2.1904	group_546
NC_002946.2.1905	oatA_2
NC_002946.2.1906	purB
NC_002946.2.1907	ygdH
NC_002946.2.1908	rnb
NC_002946.2.1909	prsA
NC_002946.2.1910	lptD
NC_002946.2.1911	group_2566
NC_002946.2.1912	dsbA_2
NC_002946.2.1913	mviN
NC_002946.2.1915	group_3257
NC_002946.2.1916	trpC
NC_002946.2.1917	recQ
NC_002946.2.1918	group_548
NC_002946.2.1920	group_3263
NC_002946.2.1921	bioH
NC_002946.2.1922	group_129
NC_002946.2.1923	trmL
NC_002946.2.1924	group_1028
NC_002946.2.1925	group_2543
NC_002946.2.1926	ruvA
NC_002946.2.1927	group_130
NC_002946.2.1928	group_2783
NC_002946.2.1929	rsgA
NC_002946.2.1930	xseB
NC_002946.2.1931	ispA
NC_002946.2.1932	group_2126
NC_002946.2.1933	nuoN
NC_002946.2.1934	nuoM
NC_002946.2.1935	group_1029
NC_002946.2.1936	nuoL
NC_002946.2.1937	nuoK
NC_002946.2.1938	nuoJ
NC_002946.2.1939	nuoI
NC_002946.2.1940	nuoH
NC_002946.2.1941	nqo3
NC_002946.2.1942	group_552
NC_002946.2.1943	nqo1
NC_002946.2.1944	nqo2
NC_002946.2.1945	nuoD
NC_002946.2.1946	nqo5
NC_002946.2.1947	nuoB
NC_002946.2.1948	ndhC
NC_002946.2.1949	group_131
NC_002946.2.1950	group_554
NC_002946.2.1951	group_1030
NC_002946.2.1952	uvrD
NC_002946.2.1953	group_240
NC_002946.2.1954	glnE
NC_002946.2.1955	group_241
NC_002946.2.1956	group_242
NC_002946.2.1957	pyrD
NC_002946.2.1958	acpP
NC_002946.2.1959	fabF_2
NC_002946.2.1960	group_555
NC_002946.2.1961	group_1031
NC_002946.2.1962	group_2953
NC_002946.2.1963	cotSA
NC_002946.2.1964	rpoN
NC_002946.2.1965	group_1032
NC_002946.2.1966	katA
NC_002946.2.1967	yebN
NC_002946.2.1968	ccpA
NC_002946.2.1969	prlC
NC_002946.2.1970	group_3191
NC_002946.2.1971	gyrB
NC_002946.2.1972	sdaA
NC_002946.2.1974	group_1033
NC_002946.2.1979	kefC
NC_002946.2.1980	rnfB
NC_002946.2.1981	gap_2
NC_002946.2.1983	aat
NC_002946.2.1984	fur
NC_002946.2.1985	smpA
NC_002946.2.1986	dapB
NC_002946.2.1987	lpxB
NC_002946.2.1988	rluC
NC_002946.2.1989	group_1034
NC_002946.2.1990	rne
NC_002946.2.1991	pdxA
NC_002946.2.1992	group_2428
NC_002946.2.1993	mnmG
NC_002946.2.1994	rnhB
NC_002946.2.1995	soj
NC_002946.2.1996	gidB
NC_002946.2.1997	group_2562
NC_002946.2.1999	yeeA
NC_002946.2.2000	group_558
NC_002946.2.2001	group_559
NC_002946.2.2002	haeIIIM_3
NC_002946.2.2003	frr
NC_002946.2.2004	uppS
NC_002946.2.2005	cdsA
NC_002946.2.2006	dxr
NC_002946.2.2007	rseP
NC_002946.2.2008	omp
NC_002946.2.2009	group_561
NC_002946.2.2010	lpxD
NC_002946.2.2011	fabZ
NC_002946.2.2012	group_246
NC_002946.2.2013	lpxA
NC_002946.2.2014	group_2833
NC_002946.2.2015	soxB
NC_002946.2.2016	valS
NC_002946.2.2017	group_562
NC_002946.2.2018	truA
NC_002946.2.2019	group_247
NC_002946.2.2020	oxyR
NC_002946.2.2021	minE
NC_002946.2.2022	minD_2
NC_002946.2.2023	minC
NC_002946.2.2024	group_2113
NC_002946.2.2025	rplQ
NC_002946.2.2026	rpoA
NC_002946.2.2027	rpsD
NC_002946.2.2028	group_1035
NC_002946.2.2029	rpsM
NC_002946.2.2031	infA
NC_002946.2.2032	secY
NC_002946.2.2033	group_1036
NC_002946.2.2034	group_2285
NC_002946.2.2035	rpmD
NC_002946.2.2036	rpsE
NC_002946.2.2037	group_1037
NC_002946.2.2038	rplF
NC_002946.2.2039	rpsH
NC_002946.2.2040	rpsN
NC_002946.2.2041	rplE
NC_002946.2.2042	rplX
NC_002946.2.2043	rplN
NC_002946.2.2044	rpsQ
NC_002946.2.2045	rpmC
NC_002946.2.2046	rplP
NC_002946.2.2047	rpsC
NC_002946.2.2048	rplV
NC_002946.2.2049	rpsS
NC_002946.2.2050	rplB
NC_002946.2.2051	rplW
NC_002946.2.2052	rplD
NC_002946.2.2053	rplC
NC_002946.2.2054	group_1038
NC_002946.2.2055	rpsJ
NC_002946.2.2056	tufA_2
NC_002946.2.2057	fusA
NC_002946.2.2058	rpsG
NC_002946.2.2059	rpsL
NC_002946.2.2060	group_1039
NC_002946.2.2061	group_248
NC_002946.2.2062	group_566
NC_002946.2.2063	group_45
NC_002946.2.2064	rpoC
NC_002946.2.2065	group_2414
NC_002946.2.2066	rpoB
NC_002946.2.2067	rplL
NC_002946.2.2068	rplJ
NC_002946.2.2069	group_1040
NC_002946.2.2070	rplA
NC_002946.2.2071	rplK
NC_002946.2.2072	nusG
NC_002946.2.2073	secE
NC_002946.2.2079	fdx_2
NC_002946.2.2080	rsmD
NC_002946.2.2081	group_1042
NC_002946.2.2082	group_1043
NC_002946.2.2084	group_2447
NC_002946.2.2085	topA
NC_002946.2.2086	group_3052
NC_002946.2.2087	smf
NC_002946.2.2088	glnG
NC_002946.2.2089	kinB
NC_002946.2.2090	group_2499
NC_002946.2.2091	rsmB_2
NC_002946.2.2092	fmt
NC_002946.2.2093	def
NC_002946.2.2094	group_1044
NC_002946.2.2095	group_567
NC_002946.2.2096	group_1045
NC_002946.2.2097	group_568
NC_002946.2.2098	pyrI
